,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
129,937635,0.8,True,De Baarsjes - Oud-West,52.3624,4.86575,Entire home/apt,5,3,4,8,195.0,3,14,True,0,2,4.68,True,39.0,585.0,0.09,0.12,0.2,4.99,0.0,975.0
130,946142,1.0,True,Westerpark,52.37991,4.87414,Private room,2,1,2,7,95.0,3,34,True,0,3,4.8,True,47.5,285.0,0.05,0.13,0.15,4.99,0.4931506849315068,466.43835616438355
131,951483,0.54,True,Watergraafsmeer,52.35149,4.92265,Entire home/apt,4,2,3,6,140.0,3,30,True,0,1,4.71,True,35.0,420.0,0.06,0.14,0.19,4.99,0.45054945054945056,754.684065934066
132,957396,0.1,True,IJburg - Zeeburgereiland,52.36073,4.98005,Entire home/apt,6,3,5,16,300.0,3,365,True,0,0,4.91,True,50.0,900.0,0.1,0.23,0.18,4.99,0.42191780821917807,1500.0
133,963328,0.74,True,Centrum-West,52.36561,4.88492,Private room,2,1,1,3,96.0,3,125,True,2,9,4.81,True,48.0,288.0,0.06,0.12,0.14,4.99,0.055401662049861494,440.2493074792244
134,964986,0.14,True,De Pijp - Rivierenbuurt,52.35531,4.90333,Entire home/apt,4,2,3,16,355.0,3,365,True,0,0,5.0,True,88.75,1065.0,0.07,0.3,0.26,4.99,0.26301369863013696,1773.4931506849316
135,978852,0.6,True,De Baarsjes - Oud-West,52.37225,4.86262,Private room,2,1,1,2,32.0,28,1124,True,0,0,3.6799999999999997,True,16.0,896.0,0.1,0.09,0.13,0.99,0.0,155.35616438356163
136,982907,0.64,True,Oostelijk Havengebied - Indische Buurt,52.37,4.95127,Entire home/apt,4,2,2,5,145.0,5,1125,True,2,0,4.78,True,36.25,725.0,0.09,0.18,0.15,4.99,0.021917808219178082,811.3013698630137
137,985155,0.33,True,Centrum-Oost,52.37042,4.91535,Entire home/apt,3,2,2,6,150.0,6,35,True,0,0,4.67,True,50.0,900.0,0.09,0.16,0.19,4.99,0.0,750.0
138,989222,0.28,True,De Pijp - Rivierenbuurt,52.35082,4.8877,Entire home/apt,2,1,1,11,190.0,6,21,True,0,2,4.72,True,95.0,1140.0,0.07,0.11,0.2,4.99,0.1506849315068493,950.0
139,995087,1.0,True,Westerpark,52.381615,4.877059,Private room,2,1,2,1,73.0,3,28,True,5,5,4.51,True,36.5,219.0,0.06,0.1,0.15,2.99,0.410958904109589,404.64383561643837
140,1005695,,True,Oud-Oost,52.35781,4.91027,Private room,2,1,1,5,129.0,3,1125,True,0,0,4.8,True,64.5,387.0,0.08,0.16,0.19,4.99,0.6767123287671233,645.0
141,1008006,0.97,True,Westerpark,52.37998,4.86959,Private room,2,1,1,5,123.0,3,30,True,2,1,4.79,True,61.5,369.0,0.05,0.17,0.2,4.99,0.699724517906336,615.6749311294766
142,1018639,0.2,True,Centrum-Oost,52.36181,4.88783,Private room,2,1,2,7,136.0,3,1125,True,0,0,4.61,True,68.0,408.0,0.07,0.18,0.19,4.99,0.0,681.986301369863
143,1018703,1.0,True,De Pijp - Rivierenbuurt,52.35099,4.886627,Private room,2,1,1,8,108.0,3,90,True,0,2,4.72,True,54.0,324.0,0.06,0.14,0.17,4.99,0.2011173184357542,619.804469273743
144,1020477,0.64,True,Centrum-West,52.37811,4.89196,Entire home/apt,2,1,1,13,307.0,5,8,True,4,0,4.91,True,153.5,1535.0,0.13,0.24,0.16,4.99,0.03287671232876712,1723.2876712328766
145,1021538,0.5,True,Slotervaart,52.35166,4.83893,Entire home/apt,5,3,3,9,249.0,7,20,True,0,0,5.0,True,49.8,1743.0,0.1,0.24,0.19,4.99,0.12054794520547946,1245.0
146,1036888,0.09,True,Westerpark,52.38624,4.87244,Entire home/apt,2,1,1,6,148.0,3,7,True,1,0,4.81,True,74.0,444.0,0.07,0.14,0.21,4.99,0.3424657534246575,705.0
147,1037485,,True,De Baarsjes - Oud-West,52.36926,4.86997,Entire home/apt,4,2,2,15,295.0,4,1125,True,0,0,4.94,True,73.75,1180.0,0.13,0.09,0.28,4.99,0.0,1475.0
148,1041309,0.72,True,Zuid,52.3543,4.88103,Entire home/apt,2,1,2,5,143.0,4,45,True,1,0,4.94,True,71.5,572.0,0.06,0.12,0.15,4.99,0.00821917808219178,753.013698630137
149,1044448,0.24000000000000002,True,Centrum-Oost,52.36377,4.91788,Entire home/apt,4,2,5,23,650.0,3,30,True,1,0,3.88,True,162.5,1950.0,0.14,0.29,0.27,10.99,0.6876712328767123,3101.301369863014
150,1055703,1.0,True,De Baarsjes - Oud-West,52.36051,4.86451,Entire home/apt,6,3,3,12,291.0,7,180,True,5,3,4.97,True,48.5,2037.0,0.09,0.27,0.21,4.99,0.6767123287671233,1456.5753424657535
151,1058082,0.86,True,De Baarsjes - Oud-West,52.36324,4.8679,Entire home/apt,2,1,1,14,392.0,5,30,True,0,1,4.88,True,196.0,1960.0,0.09,0.18,0.24,4.99,0.4849315068493151,1957.4931506849316
152,1064108,0.17,True,Centrum-West,52.38302,4.8869,Entire home/apt,2,1,1,6,99.0,7,180,True,1,0,4.75,True,49.5,693.0,0.06,0.09,0.15,4.99,0.4794520547945205,495.0
153,1068565,0.54,True,IJburg - Zeeburgereiland,52.36064,4.97643,Entire home/apt,4,2,1,1,135.0,5,30,True,0,0,4.79,True,33.75,675.0,0.08,0.13,0.2,4.99,0.4328767123287671,675.0
154,1071414,0.99,True,Oud-Oost,52.35764,4.9067,Entire home/apt,2,1,1,9,189.0,3,21,True,4,6,4.81,True,94.5,567.0,0.1,0.23,0.2,4.99,0.024657534246575342,945.0
